supply_id,sourcing_partner_id,pincode,status,created_at,first_call_at,activated_at,last_week_cac,activation_time
76,98,2,first call,2022-06-09 19:00:05.431835,2022-06-11 19:00:05.431835,2022-06-16 19:00:05.431835,22,7
77,99,1,first call,2022-05-09 19:00:05.431835,2022-05-14 19:00:05.431835,2022-05-17 19:00:05.431835,61,8
78,99,1,created,2022-07-26 19:00:05.431835,2022-08-01 19:00:05.431835,2022-08-05 19:00:05.431835,48,10
79,96,2,activated,2022-03-31 19:00:05.431835,2022-04-03 19:00:05.431835,2022-04-09 19:00:05.431835,73,9
80,98,1,activated,2022-09-13 19:00:05.431835,2022-09-16 19:00:05.431835,2022-09-18 19:00:05.431835,31,5
81,96,2,first call,2022-08-22 19:00:05.431835,2022-08-28 19:00:05.431835,2022-09-03 19:00:05.431835,21,12
82,99,2,created,2022-10-27 19:00:05.431835,2022-11-01 19:00:05.431835,2022-11-08 19:00:05.431835,74,12
83,97,1,created,2022-09-17 19:00:05.431835,2022-09-22 19:00:05.431835,2022-09-24 19:00:05.431835,19,7
84,97,3,first call,2022-04-15 19:00:05.431835,2022-04-21 19:00:05.431835,2022-04-26 19:00:05.431835,92,11
85,99,1,first call,2022-04-05 19:00:05.431835,2022-04-07 19:00:05.431835,2022-04-10 19:00:05.431835,82,5
86,97,4,activated,2022-12-03 19:00:05.431835,2022-12-05 19:00:05.431835,2022-12-06 19:00:05.431835,22,3
87,98,4,first call,2023-02-22 19:00:05.431835,2023-02-24 19:00:05.431835,2023-02-26 19:00:05.431835,16,4
88,96,2,first call,2022-06-14 19:00:05.431835,2022-06-18 19:00:05.431835,2022-06-21 19:00:05.431835,61,7
89,99,2,activated,2023-02-25 19:00:05.431835,2023-02-26 19:00:05.431835,2023-02-27 19:00:05.431835,61,2
90,99,1,first call,2022-09-07 19:00:05.431835,2022-09-13 19:00:05.431835,2022-09-18 19:00:05.431835,13,11
91,97,4,created,2022-10-31 19:00:05.431835,2022-11-03 19:00:05.431835,2022-11-08 19:00:05.431835,98,8
92,97,3,created,2022-10-06 19:00:05.431835,2022-10-13 19:00:05.431835,2022-10-20 19:00:05.431835,98,14
93,96,1,activated,2023-01-31 19:00:05.431835,2023-02-06 19:00:05.431835,2023-02-07 19:00:05.431835,13,7
94,98,3,activated,2022-10-29 19:00:05.431835,2022-11-05 19:00:05.431835,2022-11-07 19:00:05.431835,89,9
95,98,1,first call,2022-10-14 19:00:05.431835,2022-10-20 19:00:05.431835,2022-10-26 19:00:05.431835,75,12
96,99,2,activated,2022-04-10 19:00:05.431835,2022-04-12 19:00:05.431835,2022-04-15 19:00:05.431835,47,5
97,97,2,created,2022-07-24 19:00:05.431835,2022-07-29 19:00:05.431835,2022-08-02 19:00:05.431835,44,9
98,97,3,activated,2022-06-05 19:00:05.431835,2022-06-10 19:00:05.431835,2022-06-11 19:00:05.431835,48,6
99,98,2,created,2022-11-09 19:00:05.431835,2022-11-16 19:00:05.431835,2022-11-22 19:00:05.431835,67,13
100,99,3,created,2022-11-23 19:00:05.431835,2022-11-26 19:00:05.431835,2022-11-28 19:00:05.431835,19,5
101,98,4,activated,2023-02-18 19:00:05.431835,2023-02-24 19:00:05.431835,2023-02-25 19:00:05.431835,16,7
102,98,4,activated,2022-05-21 19:00:05.431835,2022-05-23 19:00:05.431835,2022-05-29 19:00:05.431835,54,8
103,98,1,first call,2022-08-02 19:00:05.431835,2022-08-05 19:00:05.431835,2022-08-09 19:00:05.431835,97,7
104,96,2,first call,2022-11-11 19:00:05.431835,2022-11-12 19:00:05.431835,2022-11-13 19:00:05.431835,14,2
105,96,1,created,2023-02-12 19:00:05.431835,2023-02-16 19:00:05.431835,2023-02-17 19:00:05.431835,64,5
106,96,3,activated,2022-05-22 19:00:05.431835,2022-05-23 19:00:05.431835,2022-05-28 19:00:05.431835,51,6
107,96,4,first call,2022-12-17 19:00:05.431835,2022-12-24 19:00:05.431835,2022-12-27 19:00:05.431835,80,10
108,99,2,created,2023-01-19 19:00:05.431835,2023-01-26 19:00:05.431835,2023-01-28 19:00:05.431835,59,9
109,99,2,created,2023-02-03 19:00:05.431835,2023-02-07 19:00:05.431835,2023-02-13 19:00:05.431835,61,10
110,96,1,created,2022-04-21 19:00:05.431835,2022-04-24 19:00:05.431835,2022-04-29 19:00:05.431835,64,8
111,96,4,activated,2022-05-10 19:00:05.431835,2022-05-16 19:00:05.431835,2022-05-18 19:00:05.431835,34,8
112,97,3,first call,2022-12-07 19:00:05.431835,2022-12-08 19:00:05.431835,2022-12-11 19:00:05.431835,23,4
113,98,3,first call,2022-11-21 19:00:05.431835,2022-11-26 19:00:05.431835,2022-12-01 19:00:05.431835,79,10
114,99,1,activated,2023-02-06 19:00:05.431835,2023-02-10 19:00:05.431835,2023-02-15 19:00:05.431835,26,9
115,97,3,activated,2023-03-13 19:00:05.431835,2023-03-15 19:00:05.431835,2023-03-21 19:00:05.431835,55,8
116,99,1,created,2022-12-08 19:00:05.431835,2022-12-15 19:00:05.431835,2022-12-18 19:00:05.431835,56,10
117,99,3,activated,2023-02-15 19:00:05.431835,2023-02-18 19:00:05.431835,2023-02-22 19:00:05.431835,94,7
118,99,4,first call,2022-12-02 19:00:05.431835,2022-12-05 19:00:05.431835,2022-12-06 19:00:05.431835,16,4
119,99,2,first call,2022-04-19 19:00:05.431835,2022-04-22 19:00:05.431835,2022-04-27 19:00:05.431835,47,8
120,98,2,first call,2022-11-23 19:00:05.431835,2022-11-25 19:00:05.431835,2022-11-27 19:00:05.431835,67,4
121,97,4,created,2022-11-11 19:00:05.431835,2022-11-14 19:00:05.431835,2022-11-18 19:00:05.431835,98,7
122,99,4,created,2022-11-08 19:00:05.431835,2022-11-15 19:00:05.431835,2022-11-19 19:00:05.431835,85,11
123,97,3,first call,2022-12-10 19:00:05.431835,2022-12-17 19:00:05.431835,2022-12-18 19:00:05.431835,23,8
124,96,3,first call,2022-07-22 19:00:05.431835,2022-07-28 19:00:05.431835,2022-08-04 19:00:05.431835,28,13
125,98,3,first call,2022-06-04 19:00:05.431835,2022-06-11 19:00:05.431835,2022-06-15 19:00:05.431835,13,11
126,97,4,created,2022-07-17 19:00:05.431835,2022-07-21 19:00:05.431835,2022-07-26 19:00:05.431835,86,9
127,97,4,created,2022-10-17 19:00:05.431835,2022-10-23 19:00:05.431835,2022-10-28 19:00:05.431835,98,11
128,99,1,activated,2022-04-23 19:00:05.431835,2022-04-30 19:00:05.431835,2022-05-01 19:00:05.431835,82,8
129,98,1,activated,2023-03-12 19:00:05.431835,2023-03-16 19:00:05.431835,2023-03-22 19:00:05.431835,58,10
130,97,4,activated,2022-07-23 19:00:05.431835,2022-07-25 19:00:05.431835,2022-07-26 19:00:05.431835,86,3
131,98,1,activated,2022-04-18 19:00:05.431835,2022-04-25 19:00:05.431835,2022-05-01 19:00:05.431835,68,13
132,96,1,first call,2022-11-15 19:00:05.431835,2022-11-22 19:00:05.431835,2022-11-24 19:00:05.431835,87,9
133,98,4,created,2022-04-12 19:00:05.431835,2022-04-14 19:00:05.431835,2022-04-15 19:00:05.431835,11,3
134,97,2,created,2023-01-20 19:00:05.431835,2023-01-21 19:00:05.431835,2023-01-22 19:00:05.431835,80,2
135,98,1,activated,2022-07-29 19:00:05.431835,2022-08-02 19:00:05.431835,2022-08-07 19:00:05.431835,79,9
136,97,4,first call,2022-09-20 19:00:05.431835,2022-09-26 19:00:05.431835,2022-09-28 19:00:05.431835,98,8
137,97,1,created,2022-04-09 19:00:05.431835,2022-04-12 19:00:05.431835,2022-04-13 19:00:05.431835,87,4
138,97,2,activated,2022-11-19 19:00:05.431835,2022-11-26 19:00:05.431835,2022-11-27 19:00:05.431835,14,8
139,98,3,activated,2022-04-04 19:00:05.431835,2022-04-11 19:00:05.431835,2022-04-18 19:00:05.431835,54,14
140,98,1,created,2023-03-10 19:00:05.431835,2023-03-12 19:00:05.431835,2023-03-15 19:00:05.431835,58,5
141,99,1,created,2022-12-24 19:00:05.431835,2022-12-25 19:00:05.431835,2022-12-28 19:00:05.431835,56,4
142,99,3,activated,2022-04-14 19:00:05.431835,2022-04-16 19:00:05.431835,2022-04-23 19:00:05.431835,63,9
143,99,3,activated,2023-02-09 19:00:05.431835,2023-02-13 19:00:05.431835,2023-02-20 19:00:05.431835,94,11
144,97,4,created,2023-02-09 19:00:05.431835,2023-02-12 19:00:05.431835,2023-02-18 19:00:05.431835,61,9
145,96,1,first call,2022-06-07 19:00:05.431835,2022-06-08 19:00:05.431835,2022-06-11 19:00:05.431835,90,4
146,98,4,activated,2022-06-11 19:00:05.431835,2022-06-13 19:00:05.431835,2022-06-18 19:00:05.431835,78,7
147,97,4,created,2022-04-02 19:00:05.431835,2022-04-08 19:00:05.431835,2022-04-13 19:00:05.431835,37,11
148,99,3,created,2022-04-29 19:00:05.431835,2022-05-06 19:00:05.431835,2022-05-09 19:00:05.431835,63,10
149,97,4,created,2022-05-16 19:00:05.431835,2022-05-18 19:00:05.431835,2022-05-23 19:00:05.431835,70,7
150,97,3,first call,2022-12-16 19:00:05.431835,2022-12-17 19:00:05.431835,2022-12-21 19:00:05.431835,23,5
151,96,3,activated,2023-03-18 19:00:05.431835,2023-03-21 19:00:05.431835,2023-03-26 19:00:05.431835,49,8
152,97,2,created,2022-06-02 19:00:05.431835,2022-06-07 19:00:05.431835,2022-06-10 19:00:05.431835,94,8
153,97,2,activated,2023-03-05 19:00:05.431835,2023-03-06 19:00:05.431835,2023-03-11 19:00:05.431835,20,6
154,99,2,created,2023-01-01 19:00:05.431835,2023-01-08 19:00:05.431835,2023-01-13 19:00:05.431835,59,12
155,97,4,created,2023-03-09 19:00:05.431835,2023-03-13 19:00:05.431835,2023-03-14 19:00:05.431835,91,5
156,97,4,first call,2023-01-23 19:00:05.431835,2023-01-30 19:00:05.431835,2023-01-31 19:00:05.431835,30,8
157,98,3,first call,2023-02-06 19:00:05.431835,2023-02-11 19:00:05.431835,2023-02-14 19:00:05.431835,80,8
158,96,3,activated,2022-09-16 19:00:05.431835,2022-09-20 19:00:05.431835,2022-09-25 19:00:05.431835,34,9
159,97,1,created,2022-05-29 19:00:05.431835,2022-05-31 19:00:05.431835,2022-06-06 19:00:05.431835,49,8
160,97,2,created,2023-02-24 19:00:05.431835,2023-03-02 19:00:05.431835,2023-03-08 19:00:05.431835,97,12
161,96,3,activated,2022-12-11 19:00:05.431835,2022-12-13 19:00:05.431835,2022-12-18 19:00:05.431835,46,7
162,98,4,created,2023-01-12 19:00:05.431835,2023-01-15 19:00:05.431835,2023-01-21 19:00:05.431835,48,9
163,97,1,created,2023-02-21 19:00:05.431835,2023-02-24 19:00:05.431835,2023-02-26 19:00:05.431835,65,5
164,99,2,activated,2022-08-09 19:00:05.431835,2022-08-12 19:00:05.431835,2022-08-14 19:00:05.431835,20,5
165,98,2,created,2023-03-13 19:00:05.431835,2023-03-18 19:00:05.431835,2023-03-21 19:00:05.431835,33,8
166,97,3,first call,2022-12-31 19:00:05.431835,2023-01-01 19:00:05.431835,2023-01-04 19:00:05.431835,23,4
167,98,3,created,2022-09-28 19:00:05.431835,2022-09-29 19:00:05.431835,2022-10-02 19:00:05.431835,87,4
168,96,4,activated,2023-03-03 19:00:05.431835,2023-03-05 19:00:05.431835,2023-03-12 19:00:05.431835,98,9
169,96,4,first call,2022-07-23 19:00:05.431835,2022-07-24 19:00:05.431835,2022-07-26 19:00:05.431835,19,3
170,96,1,created,2022-07-29 19:00:05.431835,2022-07-31 19:00:05.431835,2022-08-06 19:00:05.431835,63,8
171,99,2,created,2022-12-25 19:00:05.431835,2022-12-26 19:00:05.431835,2023-01-02 19:00:05.431835,80,8
172,98,4,activated,2023-01-22 19:00:05.431835,2023-01-23 19:00:05.431835,2023-01-27 19:00:05.431835,48,5
173,96,1,first call,2022-04-10 19:00:05.431835,2022-04-12 19:00:05.431835,2022-04-15 19:00:05.431835,64,5
174,99,2,activated,2022-07-24 19:00:05.431835,2022-07-25 19:00:05.431835,2022-07-29 19:00:05.431835,95,5
175,97,2,created,2022-11-17 19:00:05.431835,2022-11-19 19:00:05.431835,2022-11-24 19:00:05.431835,14,7
176,97,2,first call,2022-07-16 19:00:05.431835,2022-07-20 19:00:05.431835,2022-07-23 19:00:05.431835,44,7
177,99,2,created,2022-09-30 19:00:05.431835,2022-10-03 19:00:05.431835,2022-10-04 19:00:05.431835,63,4
178,98,2,created,2023-01-21 19:00:05.431835,2023-01-28 19:00:05.431835,2023-01-30 19:00:05.431835,31,9
179,96,1,first call,2022-09-23 19:00:05.431835,2022-09-28 19:00:05.431835,2022-10-02 19:00:05.431835,73,9
180,97,3,created,2022-06-16 19:00:05.431835,2022-06-17 19:00:05.431835,2022-06-18 19:00:05.431835,48,2
181,97,2,first call,2023-01-25 19:00:05.431835,2023-01-29 19:00:05.431835,2023-02-01 19:00:05.431835,80,7
182,99,1,first call,2022-10-12 19:00:05.431835,2022-10-19 19:00:05.431835,2022-10-21 19:00:05.431835,77,9
183,96,1,first call,2022-07-19 19:00:05.431835,2022-07-20 19:00:05.431835,2022-07-27 19:00:05.431835,63,8
184,96,2,activated,2022-10-27 19:00:05.431835,2022-10-28 19:00:05.431835,2022-11-02 19:00:05.431835,88,6
185,96,1,created,2022-11-24 19:00:05.431835,2022-11-26 19:00:05.431835,2022-12-02 19:00:05.431835,87,8
186,99,1,first call,2022-10-06 19:00:05.431835,2022-10-08 19:00:05.431835,2022-10-13 19:00:05.431835,77,7
187,99,4,first call,2022-10-05 19:00:05.431835,2022-10-12 19:00:05.431835,2022-10-19 19:00:05.431835,93,14
188,97,1,created,2022-11-29 19:00:05.431835,2022-12-03 19:00:05.431835,2022-12-09 19:00:05.431835,33,10
189,96,2,created,2022-10-06 19:00:05.431835,2022-10-13 19:00:05.431835,2022-10-19 19:00:05.431835,88,13
190,98,4,first call,2022-09-08 19:00:05.431835,2022-09-15 19:00:05.431835,2022-09-17 19:00:05.431835,52,9
191,96,1,first call,2022-07-06 19:00:05.431835,2022-07-12 19:00:05.431835,2022-07-13 19:00:05.431835,63,7
192,97,1,first call,2022-07-08 19:00:05.431835,2022-07-12 19:00:05.431835,2022-07-17 19:00:05.431835,11,9
193,96,4,first call,2022-07-14 19:00:05.431835,2022-07-20 19:00:05.431835,2022-07-23 19:00:05.431835,19,9
194,99,1,first call,2022-07-30 19:00:05.431835,2022-08-03 19:00:05.431835,2022-08-04 19:00:05.431835,48,5
195,97,3,activated,2022-07-02 19:00:05.431835,2022-07-04 19:00:05.431835,2022-07-07 19:00:05.431835,51,5
196,96,2,created,2023-01-18 19:00:05.431835,2023-01-22 19:00:05.431835,2023-01-26 19:00:05.431835,77,8
197,98,2,first call,2023-01-26 19:00:05.431835,2023-01-31 19:00:05.431835,2023-02-02 19:00:05.431835,31,7
198,99,4,activated,2022-07-09 19:00:05.431835,2022-07-11 19:00:05.431835,2022-07-16 19:00:05.431835,45,7
199,96,4,activated,2022-11-30 19:00:05.431835,2022-12-02 19:00:05.431835,2022-12-08 19:00:05.431835,22,8
200,96,3,created,2022-04-14 19:00:05.431835,2022-04-17 19:00:05.431835,2022-04-20 19:00:05.431835,27,6
201,98,3,created,2022-10-02 19:00:05.431835,2022-10-05 19:00:05.431835,2022-10-08 19:00:05.431835,89,6
202,98,4,activated,2023-03-02 19:00:05.431835,2023-03-05 19:00:05.431835,2023-03-12 19:00:05.431835,52,10
203,97,1,first call,2023-01-26 19:00:05.431835,2023-01-28 19:00:05.431835,2023-02-04 19:00:05.431835,73,9
204,98,2,activated,2022-09-10 19:00:05.431835,2022-09-14 19:00:05.431835,2022-09-16 19:00:05.431835,12,6
205,97,4,first call,2022-07-17 19:00:05.431835,2022-07-20 19:00:05.431835,2022-07-27 19:00:05.431835,86,10
206,98,2,created,2022-06-24 19:00:05.431835,2022-06-27 19:00:05.431835,2022-06-30 19:00:05.431835,22,6
207,98,3,activated,2022-11-11 19:00:05.431835,2022-11-16 19:00:05.431835,2022-11-20 19:00:05.431835,79,9
208,96,4,first call,2022-10-28 19:00:05.431835,2022-10-30 19:00:05.431835,2022-11-03 19:00:05.431835,15,6
209,99,4,first call,2022-07-26 19:00:05.431835,2022-07-27 19:00:05.431835,2022-08-02 19:00:05.431835,45,7
210,98,3,first call,2022-12-21 19:00:05.431835,2022-12-28 19:00:05.431835,2023-01-03 19:00:05.431835,49,13
211,98,4,created,2023-03-22 19:00:05.431835,2023-03-29 19:00:05.431835,2023-04-04 19:00:05.431835,52,13
212,98,4,created,2022-10-19 19:00:05.431835,2022-10-23 19:00:05.431835,2022-10-25 19:00:05.431835,41,6
213,97,1,created,2022-08-01 19:00:05.431835,2022-08-05 19:00:05.431835,2022-08-10 19:00:05.431835,30,9
214,99,1,first call,2022-10-04 19:00:05.431835,2022-10-06 19:00:05.431835,2022-10-11 19:00:05.431835,77,7
215,97,2,created,2022-06-23 19:00:05.431835,2022-06-28 19:00:05.431835,2022-06-29 19:00:05.431835,94,6
216,98,4,created,2022-07-22 19:00:05.431835,2022-07-29 19:00:05.431835,2022-07-31 19:00:05.431835,37,9
217,99,2,activated,2022-09-26 19:00:05.431835,2022-10-03 19:00:05.431835,2022-10-08 19:00:05.431835,63,12
218,99,1,created,2023-02-02 19:00:05.431835,2023-02-05 19:00:05.431835,2023-02-12 19:00:05.431835,26,10
219,99,1,first call,2022-09-22 19:00:05.431835,2022-09-24 19:00:05.431835,2022-10-01 19:00:05.431835,13,9
220,97,3,first call,2023-01-28 19:00:05.431835,2023-01-29 19:00:05.431835,2023-01-31 19:00:05.431835,91,3
221,98,2,created,2022-11-01 19:00:05.431835,2022-11-03 19:00:05.431835,2022-11-10 19:00:05.431835,67,9
222,99,4,created,2022-12-27 19:00:05.431835,2022-12-29 19:00:05.431835,2022-12-31 19:00:05.431835,16,4
223,98,3,created,2023-03-13 19:00:05.431835,2023-03-16 19:00:05.431835,2023-03-18 19:00:05.431835,64,5
224,98,4,first call,2022-10-30 19:00:05.431835,2022-10-31 19:00:05.431835,2022-11-04 19:00:05.431835,41,5
225,98,2,created,2022-06-25 19:00:05.431835,2022-06-27 19:00:05.431835,2022-06-29 19:00:05.431835,22,4
226,98,3,first call,2023-01-12 19:00:05.431835,2023-01-16 19:00:05.431835,2023-01-20 19:00:05.431835,88,8
227,97,2,created,2023-02-18 19:00:05.431835,2023-02-20 19:00:05.431835,2023-02-23 19:00:05.431835,97,5
228,98,3,activated,2022-10-20 19:00:05.431835,2022-10-22 19:00:05.431835,2022-10-27 19:00:05.431835,89,7
229,97,3,activated,2023-02-22 19:00:05.431835,2023-02-27 19:00:05.431835,2023-03-02 19:00:05.431835,80,8
